match_id,label,role,minute,gold,cs,xp,kills,deaths,assists,damage_dealt,cc_score,apm,distance_moved,wards_placed,wards_killed
NA1_5051448837,0,UNKNOWN,12,3401,10,3406,2,4,0,2975,1335,2,1806,0,0
NA1_5051448837,0,UNKNOWN,13,4054,10,3908,3,4,0,3724,4675,1,694,0,0
NA1_5051448837,0,UNKNOWN,14,4227,10,3932,3,5,0,3914,4675,2,3274,0,0
NA1_5051448837,0,UNKNOWN,15,4504,10,4239,3,6,1,5009,9117,2,673,0,0
NA1_5051717120,0,UNKNOWN,1,500,0,0,0,0,0,0,0,5,0,0,0
NA1_5051717120,0,UNKNOWN,2,544,0,65,0,0,0,91,0,0,4619,0,0
NA1_5051717120,0,UNKNOWN,3,733,2,613,0,0,0,873,0,1,907,0,0
NA1_5051717120,0,UNKNOWN,4,934,2,1016,0,0,0,1145,0,1,635,0,0
NA1_5051717120,0,UNKNOWN,5,1119,5,1479,0,0,0,1189,0,1,2082,0,0
NA1_5051717120,0,UNKNOWN,6,1260,5,1479,0,0,0,1189,0,2,10895,0,0
NA1_5051717120,0,UNKNOWN,7,1480,5,1718,0,0,0,1709,0,0,9413,0,0
NA1_5051717120,0,UNKNOWN,8,1656,5,2102,0,0,0,1832,0,1,1520,0,0
NA1_5051717120,0,UNKNOWN,9,1834,6,2282,0,0,0,1832,0,1,5737,0,0
NA1_5051717120,0,UNKNOWN,10,2140,9,2721,0,0,0,1832,0,1,7452,0,0
NA1_5051717120,0,UNKNOWN,11,2412,9,2773,0,1,1,2531,1636,2,5129,0,0
NA1_5051717120,0,UNKNOWN,12,2687,10,2904,0,2,1,2965,1636,2,3802,0,0
NA1_5051717120,0,UNKNOWN,13,2870,10,3240,0,2,1,2965,1903,1,2235,0,0
NA1_5051717120,0,UNKNOWN,14,3363,13,3798,0,2,2,4234,3555,0,2669,0,0
NA1_5051717120,0,UNKNOWN,15,3545,14,4004,0,2,2,4431,3555,1,8958,0,0
NA1_5152466162,0,UNKNOWN,1,500,0,0,0,0,0,0,0,4,0,0,0
NA1_5152466162,0,UNKNOWN,2,539,1,120,0,0,0,0,3072,0,1994,0,0
NA1_5152466162,0,UNKNOWN,3,848,2,581,0,0,1,278,8115,1,148,0,0
NA1_5152466162,0,UNKNOWN,4,1004,3,821,0,0,1,278,8115,2,2153,0,0
NA1_5152466162,0,UNKNOWN,5,1229,6,1365,0,0,1,383,10119,1,1780,0,0
NA1_5152466162,0,UNKNOWN,6,1385,7,1546,0,0,1,383,10119,0,3320,0,0
NA1_5152466162,0,UNKNOWN,7,1575,9,1988,0,0,1,461,12090,1,3836,0,0
NA1_5152466162,0,UNKNOWN,8,1802,12,2451,0,0,1,543,14060,2,11837,0,0
NA1_5152466162,0,UNKNOWN,9,2049,14,2897,0,0,1,987,24815,1,12422,0,0
NA1_5152466162,0,UNKNOWN,10,2276,14,3018,0,1,2,1201,24815,3,2731,0,0
NA1_5152466162,0,UNKNOWN,11,2573,17,3481,0,1,2,1201,24815,1,2434,0,0
NA1_5152466162,0,UNKNOWN,12,3152,17,3651,1,1,3,1714,29891,1,2875,0,0
NA1_5152466162,0,UNKNOWN,13,3375,23,3944,1,1,3,1714,29891,3,1347,0,0
NA1_5152466162,0,UNKNOWN,14,3589,25,4286,1,1,3,1721,31461,1,1645,0,0
NA1_5152466162,0,UNKNOWN,15,3808,27,4649,1,1,3,1815,33465,0,1567,0,0
NA1_5152509192,0,UNKNOWN,1,533,0,6,0,0,1,115,2037,4,0,0,0
NA1_5152509192,0,UNKNOWN,2,572,1,127,0,0,1,115,2037,0,5284,0,0
NA1_5152509192,0,UNKNOWN,3,817,2,474,0,0,2,963,17033,1,647,0,0
NA1_5152509192,0,UNKNOWN,4,1059,3,988,0,1,3,1111,18770,1,660,0,0
NA1_5152509192,0,UNKNOWN,5,1307,7,1334,0,1,3,1111,18770,4,456,0,0
NA1_5152509192,0,UNKNOWN,6,1518,9,1595,0,1,3,1359,30693,0,1063,0,0
NA1_5152509192,0,UNKNOWN,7,1722,12,1877,0,2,3,1866,36654,1,1794,0,0
NA1_5152509192,0,UNKNOWN,8,1873,13,1877,0,2,3,1866,36654,4,2837,0,0
NA1_5152509192,0,UNKNOWN,9,2125,15,2017,0,2,3,2099,38725,0,3034,0,0
NA1_5152509192,0,UNKNOWN,10,2303,16,2198,0,3,3,2099,38725,4,2346,0,0
NA1_5152509192,0,UNKNOWN,11,2611,19,2625,0,3,3,2267,46006,1,1153,0,0
NA1_5152509192,0,UNKNOWN,12,2818,19,2696,0,4,3,2813,48076,0,4568,0,0
NA1_5152509192,0,UNKNOWN,13,3076,21,2696,0,5,3,3167,52829,1,3504,0,0
NA1_5152509192,0,UNKNOWN,14,3473,23,3311,0,5,4,3411,54398,1,11180,0,0
NA1_5152509192,0,UNKNOWN,15,3667,26,3588,0,5,4,3587,54398,0,3062,0,0
NA1_5193421042,0,UNKNOWN,1,500,0,0,0,0,0,0,0,3,0,0,0
NA1_5193421042,0,UNKNOWN,2,598,4,276,0,0,0,253,10488,0,1485,0,0
NA1_5193421042,0,UNKNOWN,3,797,8,771,0,0,0,697,13461,2,813,0,0
NA1_5193421042,0,UNKNOWN,4,969,11,1046,0,1,0,1207,28092,1,2611,0,0
NA1_5193421042,0,UNKNOWN,5,1322,21,1880,0,1,0,1933,31165,2,783,0,0
NA1_5193421042,0,UNKNOWN,6,1557,28,2371,0,1,0,2508,34438,0,1495,0,0
NA1_5193421042,0,UNKNOWN,7,1882,40,3172,0,1,0,3158,43992,1,674,0,0
NA1_5193421042,0,UNKNOWN,8,2067,43,3452,0,1,0,3690,44861,4,274,0,0
NA1_5193421042,0,UNKNOWN,9,2500,59,4122,0,1,0,4510,64971,1,1993,0,0
NA1_5193421042,0,UNKNOWN,10,2970,64,4584,0,1,0,5524,79600,2,3541,0,0
NA1_5193421042,0,UNKNOWN,11,3156,68,4860,0,2,0,5713,80602,1,7206,0,0
NA1_5193421042,0,UNKNOWN,12,3576,80,5508,0,2,0,5713,80602,1,9298,0,0
NA1_5193421042,0,UNKNOWN,13,3803,86,5970,0,3,0,8064,89023,0,1910,0,0
NA1_5193421042,0,UNKNOWN,14,4003,91,6337,0,3,0,8064,89023,1,728,0,0
NA1_5193421042,0,UNKNOWN,15,4195,95,6799,0,3,0,8452,89992,1,1491,0,0
NA1_5193442331,0,UNKNOWN,1,500,0,0,0,0,0,0,0,3,0,0,0
NA1_5193442331,0,UNKNOWN,2,542,1,61,0,0,0,125,0,0,1095,0,0
NA1_5193442331,0,UNKNOWN,3,864,10,833,0,0,0,248,0,2,229,0,0
NA1_5193442331,0,UNKNOWN,4,1141,19,1416,0,0,0,308,0,1,723,0,0
NA1_5193442331,0,UNKNOWN,5,1627,22,1698,1,1,0,525,4241,3,340,0,0
NA1_5193442331,0,UNKNOWN,6,1876,29,2190,1,1,0,575,9485,1,540,0,0
NA1_5193442331,0,UNKNOWN,7,2130,36,2776,1,1,0,625,9485,1,1047,0,0
NA1_5193442331,0,UNKNOWN,8,2413,43,3515,1,1,0,667,14634,1,727,0,0
NA1_5193442331,0,UNKNOWN,9,2649,46,3826,1,1,0,667,14634,3,146,0,0
NA1_5193442331,0,UNKNOWN,10,2890,53,4287,1,2,0,2108,19815,1,1396,0,0
NA1_5193442331,0,UNKNOWN,11,3090,58,4562,1,2,0,2150,24958,4,1182,0,0
NA1_5193442331,0,UNKNOWN,12,3285,62,4866,1,3,0,3260,30089,0,3772,0,0
NA1_5193442331,0,UNKNOWN,13,3471,66,5038,1,3,0,3260,30089,1,3659,0,0
NA1_5193442331,0,UNKNOWN,14,3978,76,5939,1,3,1,4096,40376,1,585,0,0
NA1_5193442331,0,UNKNOWN,15,4199,79,6402,1,3,1,4202,45526,1,2967,0,0
NA1_5213991108,0,UNKNOWN,1,500,0,0,0,0,0,0,0,3,0,0,0
NA1_5213991108,0,UNKNOWN,2,618,4,276,0,0,0,202,0,1,547,0,0
NA1_5213991108,0,UNKNOWN,3,951,16,829,0,0,0,552,0,2,521,0,0
NA1_5213991108,0,UNKNOWN,4,1283,25,1324,0,1,0,896,3345,1,1768,0,0
NA1_5213991108,0,UNKNOWN,5,1654,37,1909,0,1,0,896,17683,3,4139,0,0
NA1_5213991108,0,UNKNOWN,6,1944,47,2400,0,1,0,1587,30153,1,2834,0,0
NA1_5213991108,0,UNKNOWN,7,2249,53,2832,0,2,0,1821,45184,2,1637,0,0
NA1_5213991108,0,UNKNOWN,8,2519,61,3389,0,3,0,2006,45184,2,1751,0,0
NA1_5213991108,0,UNKNOWN,9,2760,68,3726,0,3,0,2965,54237,1,539,0,0
NA1_5213991108,0,UNKNOWN,10,2979,70,3923,0,4,0,3431,70511,1,327,0,0
NA1_5213991108,0,UNKNOWN,11,3514,78,4695,1,4,0,4350,74686,2,5979,0,0
NA1_5213991108,0,UNKNOWN,12,3678,81,4971,1,4,0,4862,80265,0,5363,0,0
NA1_5213991108,0,UNKNOWN,13,3951,85,5370,1,4,0,6681,118835,1,3949,0,0
NA1_5213991108,0,UNKNOWN,14,4073,85,5531,1,4,0,6681,118835,3,8708,0,0
NA1_5213991108,0,UNKNOWN,15,4961,85,5920,2,5,0,8410,126518,2,2804,0,0
NA1_5214028697,0,UNKNOWN,1,500,0,0,0,0,0,0,0,7,0,0,0
NA1_5214028697,0,UNKNOWN,2,611,4,246,0,0,0,681,0,0,2372,0,0
NA1_5214028697,0,UNKNOWN,3,853,10,829,0,0,0,1223,21610,2,923,0,0
NA1_5214028697,0,UNKNOWN,4,1164,18,1477,0,0,0,1577,62796,1,940,0,0
NA1_5214028697,0,UNKNOWN,5,1350,22,1753,0,0,0,1577,62796,3,740,0,0
NA1_5214028697,0,UNKNOWN,6,1906,28,2121,1,1,1,2814,89350,2,6272,0,0
NA1_5214028697,0,UNKNOWN,7,2171,36,2707,1,1,1,3403,103615,2,6497,0,0
NA1_5214028697,0,UNKNOWN,8,3280,37,3161,4,2,1,4733,135111,6,4136,0,0
